id,biomni_accuracy,biomni_completion,biomni_time_seconds,biomni_input_tokens,biomni_output_tokens,stella_accuracy,stella_completion,stella_time_seconds,stella_input_tokens,stella_output_tokens,toolsgenie_accuracy,toolsgenie_completion,toolsgenie_time_seconds,toolsgenie_input_tokens,toolsgenie_output_tokens,toolsgenie_doubao_avg_similarity,toolsgenie_doubao_equivalent,toolsgenie_doubao_completion,toolsgenie_doubao_input_tokens,toolsgenie_doubao_output_tokens,toolsgenie_doubao_duration_seconds,toolsgenie_doubao_exit_code,toolsgenie_doubao_timed_out,toolsgenie_glm_avg_similarity,toolsgenie_glm_equivalent,toolsgenie_glm_completion,toolsgenie_glm_file_count,toolsgenie_glm_success_count,toolsgenie_glm_errors,toolsgenie_glm_input_tokens,toolsgenie_glm_output_tokens,toolsgenie_glm_duration_seconds,toolsgenie_glm_exit_code,toolsgenie_glm_timed_out,difficulty,glm2_agent,glm2_avg_similarity,glm2_equivalent,glm2_completion,glm2_file_count,glm2_success_count,glm2_errors,glm2_input_tokens,glm2_output_tokens,glm2_duration_seconds,glm2_exit_code,glm2_timed_out
a-1-6,0.75,1,54.447755,30896.0,1975.0,0.75,1,87.860125,251745.0,9956.0,0.7502141177178272,1,71.670158,40924.0,3436.0,0.0,0,1,57105.0,17989.0,420.135099,0,False,0.55,1,1,1,1,,8811,4268,445.460762,0,FALSE,low,toolsgenie,0.7502141177178272,1,1,1,1,,12066,6296,236.040546,0,FALSE
a-1-7,1.0,1,61.252838,26448.0,1663.0,1.0,1,58.853318,174987.0,7507.0,1.0,1,99.083628,54867.0,5283.0,1.0,1,1,27740.0,8343.0,216.572889,0,False,1.0,1,1,1,1,,18900,4347,89.290792,0,FALSE,low,toolsgenie,1.0,1,1,1,1,,18199,4532,166.395193,0,FALSE
a-1-9,1.0,1,50.071237,28288.0,1981.0,1.0,1,71.660335,203988.0,7491.0,1.0,1,67.440758,32732.0,3194.0,1.0,1,1,27688.0,11501.0,259.597321,0,False,1.0,1,1,1,1,,8432,2152,52.065251,0,FALSE,low,toolsgenie,1.0,1,1,1,1,,8279,2889,60.454674,0,FALSE
a-10-2,0.36,1,132.29494,111498.0,6377.0,0.0,0,113.284012,895048.0,27444.0,0.98,1,240.215408,136072.0,14162.0,0.34,0,1,94732.0,34722.0,1053.507457,0,False,0.0,0,0,2,0,Candidate file not found: None,,,336.542182,1,FALSE,medium,toolsgenie,0.0,0,0,2,0,Candidate file not found: None; Candidate file not found: None,,,785.322518,1,FALSE
a-10-3,0.6666666666666666,1,88.252572,48836.0,4396.0,0.0,0,48.636472,148994.0,4831.0,1.0,1,56.863911,24437.0,3470.0,1.0,1,1,20321.0,10078.0,210.573554,0,False,0.6666666666666666,1,1,1,1,,23748,12326,206.584223,0,FALSE,high,toolsgenie,0.6666666666666666,1,1,1,1,,34712,12376,533.101122,0,FALSE
a-10-4,0.9666209112146311,1,84.865892,45673.0,3874.0,0.9766666666666666,1,51.846241,69809.0,5076.0,0.9700000000000001,1,75.271327,38285.0,4096.0,0.9532875778812978,1,1,21880.0,10806.0,233.596654,0,False,0.9733333243766751,1,1,3,3,,39802,13306,233.852329,0,FALSE,medium,toolsgenie,0.973333325503611,1,1,3,3,,41067,15815,212.605452,0,FALSE
a-11-1,0.86,1,81.249005,91822.0,3104.0,0.79,1,65.856409,233183.0,12721.0,0.6496982615359554,1,83.066949,38551.0,4765.0,0.81,1,1,55085.0,22658.0,718.980385,0,False,0.855,1,1,2,2,,45855,11867,315.939221,0,FALSE,medium,toolsgenie,0.86,1,1,2,2,,66489,17344,286.258174,0,FALSE
a-11-10,1.0,1,65.658948,63513.0,2826.0,1.0,1,70.249034,266623.0,12386.0,1.0,1,232.589087,126263.0,12209.0,1.0,1,1,41744.0,16518.0,369.703407,0,False,0.9928994082840237,1,1,1,1,,,,3600.050746,124,TRUE,medium,toolsgenie,1.0,1,1,1,1,,48700,14528,249.027775,0,FALSE
a-11-2,0.7477678571428571,1,122.877307,67946.0,4826.0,0.5153496289878093,1,97.67812,381397.0,28703.0,0.3035034997254781,1,201.171459,88919.0,9206.0,0.3630127626248322,0,1,23656.0,12422.0,547.020121,0,False,0.0,0,0,1,0,Candidate file not found: None,,,8.611431,1,FALSE,high,toolsgenie,0.2093021538942868,0,1,1,1,,50716,14383,545.719422,0,FALSE
a-11-3,0.2166666666666667,1,59.834842,68441.0,2560.0,1.0,1,55.250307,144538.0,7102.0,1.0,1,55.449112,23826.0,3144.0,1.0,1,1,26776.0,13361.0,617.258453,0,False,0.0,0,0,1,0,Candidate file not found: None,,,8.60913,1,FALSE,medium,toolsgenie,1.0,1,1,1,1,,20225,7362,135.193006,0,FALSE
a-11-4,0.6245037903548116,1,182.723372,156501.0,8269.0,0.6279865270951066,1,355.093909,611615.0,44231.0,0.5732233047033632,1,240.543908,65058.0,9579.0,0.5756638483840841,1,1,80032.0,27056.0,927.382542,0,False,0.0,0,1,1,1,,43844,12825,551.312299,0,FALSE,medium,toolsgenie,0.0,0,0,1,0,Candidate file not found: None,,,3600.048534,124,TRUE
a-11-5,0.9999999999999983,1,74.463453,43660.0,3401.0,0.9999999999999962,1,55.245052,159373.0,4917.0,0.9999999999999984,1,80.458008,27389.0,4105.0,0.9997987035039457,1,1,22347.0,10795.0,262.410057,0,False,0.9999999999999991,1,1,2,2,,25411,6929,131.333035,0,FALSE,medium,toolsgenie,0.9999999999999991,1,1,2,2,,21991,9447,230.942145,0,FALSE
a-11-6,0.08,1,297.831205,278714.0,9393.0,0.08,1,439.338037,1905238.0,87606.0,0.08,1,508.636748,150290.0,24865.0,0.0,0,0,,,3600.172989,124,True,0.0,0,0,1,0,Candidate file not found: None,,,8.809253,1,FALSE,medium,toolsgenie,0.12,0,1,1,1,,98467,20166,932.007618,0,FALSE
a-11-7,0.3671256984243834,1,96.08238,63778.0,5268.0,0.3804590317577167,1,134.5072,472608.0,30854.0,0.04,1,144.315173,81245.0,7850.0,0.3503830419977862,0,1,52791.0,20088.0,490.444597,0,False,0.98,1,1,3,3,,69740,15061,299.507192,0,FALSE,medium,toolsgenie,0.06,0,1,3,3,,62092,17055,302.862741,0,FALSE
a-11-8,0.86,1,89.47315,67559.0,4545.0,0.64,1,86.670425,259330.0,24568.0,0.81,1,68.659379,31000.0,4112.0,0.48,0,1,53613.0,19597.0,413.99606,0,False,0.37,0,1,2,1,Candidate file has no data: /mnt/data/lengyang/youjia_project/autoba/test_babench/tasks/a-11-8/result_79/toolsgenie_20260709/cross_layer_hubs.csv,,,3600.267718,124,TRUE,high,toolsgenie,0.215,0,0,2,1,Candidate file has no data: /mnt/data/lengyang/youjia_project/autoba/test_babench/tasks2/a-11-8/result_714/toolsgenie_20260714/cross_layer_hubs.csv,,,3600.12428,124,TRUE
a-11-9,0.65,1,89.674646,55755.0,4333.0,0.71,1,65.650615,175937.0,8465.0,0.66,1,356.110974,133467.0,14134.0,0.36,0,1,33842.0,15381.0,329.470344,0,False,0.3333333333333333,0,1,3,3,,52281,14574,254.676353,0,FALSE,medium,toolsgenie,0.37999999999999995,0,1,3,3,,48463,9580,422.796466,0,FALSE
a-12-1,0.2,1,91.280407,79621.0,4519.0,0.98,1,366.486961,2309410.0,20115.0,0.965,1,348.29569,58426.0,4479.0,0.9450000000000001,1,1,191108.0,45155.0,1537.629815,0,False,0.965,1,1,2,2,,60887,13571,653.2045,0,FALSE,medium,toolsgenie,0.665,1,1,2,2,,84325,22180,584.515603,0,FALSE
a-12-2,0.08,1,64.463091,87272.0,2714.0,0.94,1,545.232298,1038430.0,20633.0,0.9,1,111.891068,54874.0,5947.0,0.92,1,1,131191.0,28905.0,902.918042,0,False,0.0,0,0,1,0,Candidate file not found: None,,,3600.129455,124,TRUE,medium,toolsgenie,0.96,1,1,1,1,,93944,22604,1215.107312,0,FALSE
a-12-3,0.0,1,77.076047,88183.0,3027.0,0.0,1,82.069613,215659.0,15112.0,0.0,1,210.99914,138716.0,12017.0,0.0,0,1,70982.0,18378.0,475.006754,0,False,0.0,0,1,1,1,,50570,14436,328.501271,0,FALSE,low,toolsgenie,1.0,1,1,1,1,,92379,17536,420.557139,0,FALSE
a-12-4,0.6049350085106615,1,73.465682,55504.0,3745.0,0.0,0,75.473297,98736.0,11689.0,0.4574238200686458,1,133.311081,33139.0,6364.0,1.0,1,1,21847.0,9568.0,282.248494,0,False,0.6905756553773963,1,1,1,1,,23884,10130,353.740792,0,FALSE,medium,toolsgenie,0.5994125859914008,1,1,1,1,,27372,12568,292.855826,0,FALSE
a-12-5,0.9,1,57.451478,64781.0,2824.0,0.95,1,51.840388,122320.0,7266.0,0.95,1,69.469612,35055.0,2840.0,0.93,1,1,22031.0,10033.0,250.999176,0,False,0.94,1,1,1,1,,59060,15855,274.263431,0,FALSE,medium,toolsgenie,0.93,1,1,1,1,,42090,10688,212.38267,0,FALSE
a-13-1,0.0,1,128.101763,141865.0,3701.0,0.0,1,60.449178,151764.0,9351.0,0.655557362112067,1,76.447265,29234.0,4772.0,0.0,0,1,27949.0,10200.0,239.803768,0,False,0.0,0,1,1,1,,19144,9762,429.59458,0,FALSE,medium,toolsgenie,0.0,0,1,1,1,,20093,7754,250.217292,0,FALSE
a-13-2,0.9992784516738185,1,97.459691,147845.0,4190.0,0.9992800915599775,1,69.056239,160479.0,9353.0,0.9999967202276818,1,181.932953,59543.0,10149.0,0.9992708399769895,1,1,25503.0,12736.0,316.238956,0,False,0.9999814968340239,1,1,1,1,,31145,13268,522.754574,0,FALSE,low,toolsgenie,0.9944425475750651,1,1,1,1,,22320,9810,178.350505,0,FALSE
a-13-3,0.135,1,107.29758,102470.0,5416.0,0.09,1,772.414178,12764936.0,132398.0,0.86,1,95.073851,45997.0,5722.0,0.0,0,0,,,3600.232421,124,True,0.0,0,0,2,0,Candidate file not found: None,,,300.906337,1,FALSE,high,toolsgenie,0.0,0,0,2,0,Candidate file not found: None; Candidate file not found: None,,,295.455879,1,FALSE
a-13-4,0.8075499102701248,1,74.246645,51184.0,3485.0,0.8075499102701248,1,49.244978,81871.0,5137.0,1.0,1,167.53568,69810.0,6781.0,0.0,0,0,31201.0,22361.0,647.938162,0,False,0.0,0,0,1,0,Candidate file not found: None,,,3600.193549,124,TRUE,high,toolsgenie,0.0,0,0,1,0,Candidate file not found: None,,,3600.088091,124,TRUE
a-13-5,0.9847474660243052,1,71.64715,44814.0,3115.0,0.6417642642642643,1,61.447371,121226.0,9330.0,0.9947522522522523,1,144.113176,30619.0,4247.0,0.48,0,0,10676.0,6261.0,127.689575,0,False,0.0,0,0,1,0,Candidate file not found: None,28940,12604,377.532454,0,FALSE,high,toolsgenie,0.0,0,1,1,0,Candidate file not found: None,10594,6533,229.664043,0,FALSE
a-14-1,0.3019069426509729,0,,,,0.0,0,,,,0.1133035770165797,1,,,,0.0,0,0,,,3600.147764,124,True,0.0,0,0,5,0,Candidate file not found: None,114301,34505,1934.367759,0,FALSE,high,toolsgenie,0.0,0,0,5,0,Candidate file not found: None; Candidate file not found: None; Candidate file not found: None; Candidate file not found: None; Candidate file not found: None,,,3600.087605,124,TRUE
a-14-2,0.0,1,72.861036,45111.0,2914.0,0.0,1,97.876173,156791.0,13864.0,0.0,1,124.885707,36821.0,3878.0,0.0,0,1,10026.0,5169.0,108.483414,0,False,0.0,0,1,1,1,,29936,9424,208.385855,0,FALSE,high,toolsgenie,0.0,0,1,1,1,,19328,10101,235.812798,0,FALSE
a-14-3,0.0,1,70.656319,40483.0,3273.0,0.0,1,63.253525,109229.0,9850.0,0.0,1,180.155688,38909.0,4742.0,0.0,0,1,10018.0,4646.0,98.870489,0,False,0.0,0,1,1,1,,36516,10226,373.56118,0,FALSE,medium,toolsgenie,0.0,0,1,1,1,,40702,8871,183.158596,0,FALSE
a-14-4,0.72,1,88.871769,67603.0,4782.0,0.76,1,127.696751,1002655.0,27693.0,0.98,1,87.469961,42106.0,5176.0,0.08,0,1,46688.0,17609.0,374.87986,0,False,0.92,1,1,1,1,,34516,8171,164.771797,0,FALSE,medium,toolsgenie,0.38,0,1,1,1,,52708,15919,288.264625,0,FALSE
a-14-5,0.0,1,64.313582,101498.0,3059.0,0.0,1,57.047758,124291.0,8664.0,0.0,1,162.563008,37593.0,4427.0,0.0,0,1,33254.0,13546.0,275.021463,0,False,0.0,0,1,1,1,,,,3600.118485,124,TRUE,medium,toolsgenie,0.0,0,1,1,1,,18484,8704,1034.955941,0,FALSE
a-15-1,0.9999999999999937,1,109.712586,50024.0,3792.0,1.0,1,124.890322,470659.0,14495.0,0.9999999999999933,1,247.854108,49973.0,7986.0,0.9999999999999986,1,1,39605.0,15730.0,361.084771,0,False,0.9999999999999934,1,1,1,1,,39817,11570,879.655178,0,FALSE,medium,toolsgenie,0.9999999999999934,1,1,1,1,,56437,11718,304.088111,0,FALSE
a-15-10,0.3433564465116423,1,97.137762,66902.0,4666.0,0.0,1,64.849102,207048.0,11745.0,0.9999999999999977,1,375.131773,92261.0,12319.0,1.0,1,1,187832.0,40549.0,1937.721872,0,False,0.0,0,0,1,0,Candidate file not found: None,,,3600.225407,124,TRUE,high,toolsgenie,0.0,0,0,1,0,Candidate file not found: None,,,3600.197335,124,TRUE
a-15-2,0.2686311100164567,1,306.833296,217556.0,11809.0,0.9999999999999977,1,1605.368483,2861149.0,70478.0,0.0,0,2434.126146,695525.0,89216.0,0.0,0,1,,,3600.234426,124,True,0.2686311100164566,0,1,1,1,,70849,16084,333.369391,0,FALSE,high,toolsgenie,0.2686311100164565,0,1,1,1,,194859,23625,536.240257,0,FALSE
a-15-3,0.9984918112821666,1,74.126406,101865.0,3369.0,0.9975579582675707,1,61.65565,138595.0,9676.0,0.9974627512264755,1,211.571899,89594.0,8727.0,0.9974522745901808,1,1,29892.0,12999.0,396.493221,0,False,0.998701311196826,1,1,2,2,,30874,9500,145.349931,0,FALSE,high,toolsgenie,0.9984655996806742,1,1,2,2,,30445,14266,2090.431878,0,FALSE
a-15-4,1.0,1,80.670646,49851.0,3423.0,1.0,1,86.470355,301813.0,16666.0,1.0,1,136.504266,82664.0,8391.0,0.6428571428571429,1,1,22478.0,11071.0,237.191425,0,False,0.5,1,1,1,1,,25770,7491,127.31827,0,FALSE,medium,toolsgenie,0.5,1,1,1,1,,29298,11011,240.237104,0,FALSE
a-15-5,0.5714285714285714,1,150.931134,109166.0,7455.0,0.5714285714285714,1,66.854621,47292.0,7917.0,1.0,1,69.474428,40714.0,4348.0,0.5714285714285714,1,1,21442.0,8101.0,182.344269,0,False,1.0,1,1,1,1,,23865,6084,98.96648,0,FALSE,medium,toolsgenie,1.0,1,1,1,1,,22747,5503,102.662104,0,FALSE
a-15-6,0.9722208333506942,1,132.910076,111224.0,5715.0,0.8888875000173608,1,95.470073,297758.0,16863.0,0.9697383490804293,1,136.314765,86723.0,9120.0,0.8888888888888888,1,1,56243.0,20916.0,478.584508,0,False,0.8888888888888888,1,1,1,1,,24887,10936,240.68999,0,FALSE,high,toolsgenie,0.9722222222222222,1,1,1,1,,28976,12021,288.911219,0,FALSE
a-15-7,0.7419444444444445,1,988.328686,175772.0,7532.0,0.6899603174603175,1,111.080346,695797.0,27327.0,0.6245238095238096,1,469.171997,136517.0,19520.0,0.3344444444444444,0,1,79116.0,20844.0,575.893871,0,False,0.0,0,0,2,0,Candidate file not found: None,,,3600.10414,124,TRUE,high,toolsgenie,0.0,0,0,2,0,Candidate file not found: None; Candidate file not found: None,,,3600.168996,124,TRUE
a-15-8,0.42,1,,,,0.0,0,,,,0.0,0,,,,0.0,0,0,,,3600.117783,124,True,0.0,0,0,2,0,Candidate file not found: None,,,3600.162256,124,TRUE,high,toolsgenie,0.0,0,0,2,0,Candidate file not found: None; Candidate file not found: None,,,3600.053803,124,TRUE
a-15-9,0.4215117088717796,1,194.214564,186075.0,8679.0,0.3241368481711838,1,780.241714,5407206.0,30642.0,0.4292582985518475,1,187.170919,70077.0,7551.0,0.3757842259259826,0,1,32916.0,12320.0,404.335319,0,False,0.17,0,1,2,2,,38653,10182,492.676097,0,FALSE,high,toolsgenie,0.5504353010020867,1,1,2,2,,65385,11307,954.485589,0,FALSE
a-2-1,1.0,1,91.277532,48512.0,3023.0,0.0,0,129.08913,913735.0,24631.0,1.0,1,82.733941,23266.0,3029.0,0.0,0,1,33312.0,16587.0,372.100785,0,False,0.0,0,1,1,1,,30081,7252,252.704315,0,FALSE,low,toolsgenie,1.0,1,1,1,1,,18391,6873,180.373644,0,FALSE
a-2-10,1.0,1,53.267921,26286.0,2029.0,1.0,1,79.054517,181598.0,9517.0,1.0,1,65.183324,40492.0,3172.0,0.4999988084091219,0,1,39971.0,13781.0,317.466397,0,False,0.0,0,0,1,0,Candidate file not found: None,,,3600.07246,124,TRUE,medium,toolsgenie,0.0,0,0,1,0,Candidate file not found: None,,,3600.147556,124,TRUE
a-2-15,0.94,1,77.478982,54102.0,3728.0,0.9,1,65.445585,183826.0,12021.0,0.9,1,75.059583,34278.0,4778.0,0.72,1,1,59312.0,22768.0,600.662874,0,False,0.94,1,1,1,1,,40492,9169,176.795655,0,FALSE,high,toolsgenie,0.92,1,1,1,1,,53264,16321,350.52473,0,FALSE
a-2-3,0.5260640940708844,1,232.004868,329822.0,11964.0,0.9936389167508217,1,428.534707,17003869.0,26667.0,0.8745570486387422,1,1207.872563,161328.0,13584.0,0.0,0,0,,,3600.140086,124,True,0.0,0,0,4,0,Candidate file not found: None,,,61.656244,1,FALSE,medium,toolsgenie,0.0,0,0,4,0,Candidate file not found: None; Candidate file not found: None; Candidate file not found: None; Candidate file not found: None,,,244.830876,1,FALSE
a-2-5,0.72,1,95.87903,59288.0,4826.0,0.32,1,101.075629,562473.0,21369.0,0.26,1,97.476139,40695.0,5555.0,0.0,0,0,,,3600.093272,124,True,0.0,0,0,1,0,Candidate file not found: None,,,3600.095123,124,TRUE,medium,toolsgenie,0.18,0,0,1,1,,,,3600.210984,124,TRUE
a-2-6,0.0,1,266.165563,288938.0,6385.0,0.9299767269992476,1,771.01992,14556618.0,14662.0,0.0,1,462.698296,142261.0,12826.0,0.0,0,0,,,3600.103049,124,True,0.0,0,0,1,0,Candidate file not found: None,,,2440.670106,1,FALSE,medium,toolsgenie,0.0,0,0,1,0,Candidate file not found: None,,,3600.055145,124,TRUE
a-2-7,0.88,1,90.877264,52858.0,4212.0,0.92,1,46.638161,102844.0,6401.0,0.82,1,50.647108,16356.0,2461.0,0.92,1,1,15273.0,4586.0,194.760083,0,False,0.82,1,1,1,1,,31019,5518,1594.508524,0,FALSE,low,toolsgenie,0.93,1,1,1,1,,27157,8037,1701.011872,0,FALSE
a-2-8,0.2119818736099102,1,179.142506,142536.0,9745.0,0.2808478334707636,1,196.156848,526903.0,28025.0,0.7246705028796278,1,391.903408,131418.0,12502.0,0.0,0,1,39560.0,19347.0,755.637164,0,False,0.3262469679935279,0,1,2,2,,57745,16196,689.195762,0,FALSE,medium,toolsgenie,0.0,0,1,2,2,,49588,14334,2325.020134,0,FALSE
a-2-9,1.0,1,69.06374,49718.0,2966.0,1.0,1,74.061007,218584.0,10953.0,0.07728041366103515,1,163.131623,52665.0,5664.0,0.1149834916712495,0,1,41139.0,17530.0,552.846247,0,False,1.0,1,1,1,1,,42174,10942,352.115519,0,FALSE,medium,toolsgenie,1.0,1,1,1,1,,24459,6179,146.743947,0,FALSE
a-3-1,0.0,1,2352.787964,73859.0,3699.0,0.0,1,141.910344,473011.0,22536.0,0.0,1,139.713605,61606.0,8178.0,0.0,0,1,20076.0,8596.0,222.968756,0,False,0.0,0,0,1,0,Candidate file not found: None,,,3600.049628,124,TRUE,medium,toolsgenie,0.0,0,1,1,1,,41683,13003,3438.466765,0,FALSE
a-3-10,1.0,1,170.748069,548185.0,11407.0,1.0,1,64.446518,219179.0,8811.0,1.0,1,68.463621,33247.0,3717.0,1.0,1,1,30096.0,11269.0,271.014929,0,False,1.0,1,1,1,1,,8334,3419,141.742853,0,FALSE,low,toolsgenie,0.0,0,0,1,0,Candidate file not found: None,,,50.842378,1,FALSE
a-3-11,0.4175,1,110.6988,64242.0,5830.0,0.855,1,189.350174,5515839.0,31135.0,0.3825,1,644.921242,156067.0,31035.0,0.6699999999999999,1,1,33139.0,13982.0,548.83294,0,False,0.25,0,1,4,1,Candidate file not found: None,,,1135.112788,1,FALSE,medium,toolsgenie,0.2475,0,0,4,1,Candidate file not found: None; Candidate file not found: None; Candidate file not found: None,,,3600.194937,124,TRUE
a-3-12,0.0,1,103.884175,111538.0,4498.0,0.0,1,70.656075,568203.0,15701.0,0.0,1,119.099095,80041.0,7804.0,0.0,0,1,33725.0,10257.0,1414.110493,0,False,0.0,0,0,1,0,Candidate file not found: None,,,262.52932,1,FALSE,medium,toolsgenie,0.0,0,0,1,0,Candidate file not found: None,,,1084.182402,1,FALSE
a-3-13,0.0,1,342.11339,276094.0,11073.0,0.0,0,401.133512,14498896.0,192424.0,0.7663551401869159,1,334.449108,58823.0,4675.0,0.9178267031732795,1,1,67732.0,26353.0,894.339987,0,False,0.0,0,0,1,0,Candidate file not found: None,,,8.641201,1,FALSE,high,toolsgenie,0.794392523364486,1,1,1,1,,70305,19303,2343.594223,0,FALSE
a-3-14,0.9971751337296975,1,75.266733,49478.0,3312.0,0.6245515317129616,1,91.670413,212381.0,16637.0,,1,102.675623,56687.0,5647.0,0.9999999924682217,1,1,22607.0,8162.0,187.549176,0,False,0.9971751337296975,1,1,1,1,,34127,7440,415.977661,0,FALSE,medium,toolsgenie,0.9971751337296975,1,1,1,1,,32349,9101,330.097149,0,FALSE
a-3-15,1.0,1,55.051223,41218.0,2877.0,1.0,1,66.860658,156572.0,9478.0,1.0,1,59.05078,22185.0,2256.0,1.0,1,1,10823.0,4499.0,96.276675,0,False,1.0,1,1,1,1,,36340,9553,216.071493,0,FALSE,low,toolsgenie,1.0,1,1,1,1,,21188,4734,97.883829,0,FALSE
a-3-2,0.03036437246963563,1,363.108193,443417.0,12438.0,0.6664846484524554,1,2673.67681,38694347.0,28850.0,1.0,1,62.251368,22078.0,2602.0,1.0,1,1,118254.0,34959.0,3097.023979,0,False,1.0,1,1,1,1,,31142,9279,321.894476,0,FALSE,medium,toolsgenie,1.0,1,1,1,1,,35974,8514,208.781511,0,FALSE
a-3-3,0.4752715121136173,1,331.48122,168308.0,7505.0,0.999999999999997,1,2424.163812,13714395.0,57249.0,0.0,1,608.875035,137999.0,16375.0,0.0,0,0,,,3600.192796,124,True,0.0,0,0,3,0,Candidate file not found: None,,,1568.839414,1,FALSE,medium,toolsgenie,0.0,0,0,3,0,Candidate file not found: None; Candidate file not found: None; Candidate file not found: None,,,3600.247028,124,TRUE
a-3-4,0.44,1,124.502932,81067.0,6589.0,0.43,1,113.698802,625049.0,21951.0,0.48,1,77.060662,29300.0,3342.0,0.48,0,1,33864.0,11968.0,313.024203,0,False,0.39,0,1,2,2,,49706,15834,730.845956,0,FALSE,medium,toolsgenie,0.47,0,1,2,2,,44655,10910,520.461841,0,FALSE
